Ctenomys latro,no,Ctenomys latro
Ctenomys leucodon,no,Ctenomys leucodon
Ctenomys lewisi,no,Ctenomys lewisi
Ctenomys magellanicus,no,Ctenomys magellanicus
Ctenomys maulinus,no,Ctenomys maulinus
Ctenomys mendocinus,no,Ctenomys mendocinus
Ctenomys minutus,no,Ctenomys minutus
Ctenomys occultus,no,Ctenomys occultus
Ctenomys opimus,no,Ctenomys opimus
Ctenomys osvaldoreigi,no,Ctenomys osvaldoreigi
Ctenomys pearsoni,no,Ctenomys pearsoni
Ctenomys perrensi,no,Ctenomys perrensi
Ctenomys peruanus,no,Ctenomys peruanus
Ctenomys pilarensis,no,Ctenomys pilarensis
Ctenomys pontifex,no,Ctenomys pontifex
Ctenomys porteousi,no,Ctenomys porteousi
Ctenomys pundti,no,Ctenomys pundti
Ctenomys rionegrensis,no,Ctenomys rionegrensis
Ctenomys roigi,no,Ctenomys roigi
Ctenomys saltarius,no,Ctenomys saltarius
Ctenomys scagliai,no,Ctenomys scagliai
Ctenomys sericeus,no,Ctenomys sericeus
Ctenomys sociabilis,no,Ctenomys sociabilis
Ctenomys steinbachi,no,Ctenomys steinbachi
Ctenomys talarum,no,Ctenomys talarum
Ctenomys torquatus,no,Ctenomys torquatus
Ctenomys tuconax,no,Ctenomys tuconax
Ctenomys tucumanus,no,Ctenomys tucumanus
Ctenomys tulduco,no,Ctenomys tulduco
Ctenomys validus,no,Ctenomys validus
Ctenomys viperinus,no,Ctenomys viperinus
Ctenomys yolandae,no,Ctenomys yolandae
Cuniculus paca,no,Cuniculus paca
Cuniculus taczanowskii,no,Cuniculus taczanowskii
Cuscomys ashaninka,no,Cuscomys ashaninka
Cuscomys oblativa,no,Cuscomys oblativa
Cynomys gunnisoni,no,Cynomys gunnisoni
Cynomys leucurus,no,Cynomys leucurus
Cynomys ludovicianus,no,Cynomys ludovicianus
Cynomys mexicanus,no,Cynomys mexicanus
Cynomys parvidens,no,Cynomys parvidens
Dacnomys millardi,no,Dacnomys millardi
Dactylomys boliviensis,no,Dactylomys boliviensis
Dactylomys dactylinus,no,Dactylomys dactylinus
Dactylomys peruanus,no,Dactylomys peruanus
Dasymys foxi,no,Dasymys foxi
Dasymys incomtus,no,Dasymys incomtus
Delanymys brooksi,no,Delanymys brooksi
Dipodomys agilis,no,Dipodomys agilis
Dipodomys californicus,no,Dipodomys californicus
Dipodomys compactus,no,Dipodomys compactus
Dipodomys deserti,no,Dipodomys deserti
Dipodomys elator,no,Dipodomys elator
Dipodomys gravipes,no,Dipodomys gravipes
Dipodomys heermanni,no,Dipodomys heermanni
Dipodomys ingens,no,Dipodomys ingens
